The SAS System,,,,,,,,,,,
,,,,,,,,,,,
release_id,estimize_actual,anndats,ibes_actvalue,IBES_adj_actual,ticker,etick,y,ibes_right,estimize_right,formatted_date,
35286,-0.23,4/24/2014,-0.29,-0.29,CENX,CENX,0.06,0,0,4/24/2014,
35334,0.65,2/24/2015,0.54,0.54,CENX,CENX,0.11,0,0,2/24/2015,
25508,-0.81,2/25/2015,0.08,0.08,CHDN,CHDN,0.89,0,0,2/25/2015,
94816,0.08,12/11/2014,-0.08,-0.08,CIEN,CIEN,0.16,0,0,12/11/2014,
35277,0.82,7/25/2013,1.14,1.14,CLF,CLF,0.32,0,0,7/25/2013,
79029,0.49,2/25/2015,0.46,0.46,CLH,CLH,0.03,0,0,2/25/2015,
78743,0.15,5/7/2014,0.19,0.19,CLH,CLH,0.04,0,0,5/7/2014,
40643,0.5,2/19/2014,-0.06,-0.06,CLMT,CLMT,0.56,0,0,2/19/2014,
40663,-0.76,5/7/2014,0.5,0.5,CLMT,CLMT,1.26,0,0,5/7/2014,
40970,-0.13,8/8/2013,-0.23,-0.23,CLNE,CLNE,0.1,0,0,8/8/2013,
10341,0.9,2/4/2013,0.93,0.93,CLX,CLX,0.03,0,0,2/4/2013,
10321,1.36,8/2/2012,1.32,1.32,CLX,CLX,0.04,0,0,8/2/2012,
10499,1.1,10/31/2014,1.05,1.05,CLX,CLX,0.05,0,0,10/31/2014,
33399,0.39,1/7/2014,0.14,0.14,CMC,CMC,0.25,0,0,1/7/2014,
82517,2.2,10/25/2011,2.35,2.35,CMI,CMI,0.15,0,0,10/25/2011,
93202,0.28,6/4/2015,0.3,0.3,CMTL,CMTL,0.02,0,0,6/4/2015,
49410,0.34,7/29/2013,0.3,0.3,CNO,CNO,0.04,0,0,7/29/2013,
49484,0.41,2/10/2015,0.29,0.29,CNO,CNO,0.12,0,0,2/10/2015,
117639,0.3,8/6/2014,0.21,0.21,CNP,CNP,0.09,0,0,8/6/2014,
115672,0.2,3/7/2013,0.18,0.18,CNSL,CNSL,0.02,0,0,3/7/2013,
36621,0.64,1/31/2014,2.61,2.61,CNX,CNX,1.97,0,0,1/31/2014,
51372,0.13,3/2/2015,0.34,0.34,CODI,CODI,0.21,0,0,3/2/2015,
51418,0.03,5/7/2013,0.43,0.43,CODI,CODI,0.4,0,0,5/7/2013,
74191,1.2,7/24/2012,1.14,1.14,COL,COL,0.06,0,0,7/24/2012,
74471,1.1,1/23/2015,1.26,1.26,COL,COL,0.16,0,0,1/23/2015,
70739,2,9/4/2014,1.9,1.9,COO,COO,0.1,0,0,9/4/2014,
36379,1.67,7/31/2014,1.61,1.61,COP,COP,0.06,0,0,7/31/2014,
36290,2,1/30/2014,1.4,1.4,COP,COP,0.6,0,0,1/30/2014,
36247,1.4,10/26/2011,2.52,2.52,COP,COP,1.12,0,0,10/26/2011,
118176,-0.33,8/1/2014,-0.01,-0.01,CPN,CPN,0.32,0,0,8/1/2014,
118068,0.22,2/13/2013,-0.19,-0.19,CPN,CPN,0.41,0,0,2/13/2013,
76601,0.32,11/25/2013,0.34,0.34,CPRT,CPRT,0.02,0,0,11/25/2013,
76551,0.31,2/27/2013,0.38,0.38,CPRT,CPRT,0.07,0,0,2/27/2013,
12244,-0.01,5/8/2015,0.06,0.06,CROX,CROX,0.07,0,0,5/8/2015,
106480,0.36,1/26/2012,0.43,0.43,CRUS,CRUS,0.07,0,0,1/26/2012,
13842,0,2/28/2014,0.13,0.13,CTB,CTB,0.13,0,0,2/28/2014,
40860,-0.07,4/29/2015,-0.11,-0.11,CVE,CVE,0.04,0,0,4/29/2015,
40734,0.46,4/30/2014,0.5,0.5,CVE,CVE,0.04,0,0,4/30/2014,
40711,-0.25,2/14/2013,0.05,0.05,CVE,CVE,0.3,0,0,2/14/2013,
40825,-0.78,2/12/2015,-0.12,-0.12,CVE,CVE,0.66,0,0,2/12/2015,
40861,2.99,2/1/2013,3.27,3.27,CVX,CVX,0.28,0,0,2/1/2013,
